alpha,beta,avg_survive_time,survive_rate,flag_tp,flag_fp
0.001,3,0.394043,0.376100,1.04,0.63
0.001,5,0.253591,0.248700,0.30,0.00
0.001,10,0.167262,0.163500,0.12,0.00
0.001,20,0.164531,0.160700,0.11,0.00
0.001,50,0.156730,0.152500,0.11,0.00
0.01,3,0.913524,0.898600,42.27,48.50
0.01,5,0.945859,0.932100,10.63,9.83
0.01,10,0.947749,0.935300,1.48,0.20
0.01,20,0.933966,0.923500,1.23,0.00
0.01,50,0.869011,0.858300,1.11,0.00
0.1,3,0.969570,0.942000,66.58,66.90
0.1,5,0.979996,0.967000,1.38,0.07
0.1,10,0.969304,0.956700,1.29,0.00
0.1,20,0.947899,0.936300,1.25,0.00
0.1,50,0.888497,0.877300,1.14,0.00
0.2,3,0.873714,0.764500,490.60,522.51
0.2,5,0.976274,0.961500,4.51,3.22
0.2,10,0.970514,0.958200,1.30,0.00
0.2,20,0.951156,0.940000,1.27,0.00
0.2,50,0.891784,0.880700,1.14,0.00
0.5,3,0.337454,0.065700,2099.00,2563.88
0.5,5,0.645769,0.393000,394.33,425.40
0.5,10,0.969566,0.956400,2.42,1.15
0.5,20,0.948208,0.937200,1.26,0.00
0.5,50,0.891508,0.878500,1.13,0.00
1.0,3,0.118267,0.000100,2081.94,2898.70
1.0,5,0.050998,0.000000,550.89,685.44
1.0,10,0.038216,0.000000,150.73,179.61
1.0,20,0.055291,0.000000,64.28,74.95
1.0,50,0.099502,0.000000,19.82,23.28
