alpha,beta,avg_survive_time,survive_rate,flag_tp,flag_fp
0.001,1,0.003745,0.000000,384.38,576.04
0.001,2,0.884757,0.785800,936.01,934.97
0.001,3,0.981056,0.968900,1.42,0.10
0.001,5,0.973261,0.959100,1.30,0.00
0.001,10,0.960787,0.950000,1.26,0.00
0.001,20,0.944557,0.931200,1.25,0.00
0.001,50,0.888839,0.877800,1.13,0.00
0.01,1,0.003812,0.000000,390.68,585.33
0.01,2,0.889049,0.790200,940.14,939.10
0.01,3,0.978790,0.966000,1.44,0.11
0.01,5,0.974657,0.963200,1.31,0.00
0.01,10,0.959789,0.947800,1.27,0.00
0.01,20,0.943840,0.931400,1.23,0.00
0.01,50,0.893678,0.880300,1.15,0.00
0.1,1,0.003152,0.000000,771.85,1093.44
0.1,2,0.519658,0.225400,1365.08,1384.58
0.1,3,0.886354,0.789900,73.43,79.44
0.1,5,0.969997,0.955500,1.41,0.11
0.1,10,0.960391,0.947800,1.28,0.00
0.1,20,0.948091,0.935900,1.25,0.00
0.1,50,0.889340,0.878600,1.14,0.00
0.2,1,0.002755,0.000000,699.05,995.67
0.2,2,0.176749,0.004300,1278.94,1326.15
0.2,3,0.422592,0.126100,287.99,332.04
0.2,5,0.965555,0.946100,5.19,4.19
0.2,10,0.962629,0.949500,1.28,0.00
0.2,20,0.941695,0.928900,1.24,0.00
0.2,50,0.880914,0.867600,1.12,0.00
0.5,1,0.002284,0.000000,627.18,899.88
0.5,2,0.034014,0.000000,1060.74,1146.39
0.5,3,0.024811,0.000000,334.01,387.57
0.5,5,0.252498,0.021200,203.95,233.39
0.5,10,0.956104,0.940700,2.61,1.48
0.5,20,0.945004,0.931800,1.24,0.00
0.5,50,0.892055,0.880900,1.12,0.00
1.0,1,0.002021,0.000000,596.38,858.17
1.0,2,0.013116,0.000000,997.84,1097.39
1.0,3,0.004290,0.000000,335.33,382.29
1.0,5,0.007301,0.000000,185.02,214.52
1.0,10,0.011293,0.000000,75.58,89.51
1.0,20,0.035721,0.000000,48.91,56.08
1.0,50,0.086354,0.000000,18.20,21.29
