Time(ms),Location(m),Speed(m/s)
33400,3005.99,90
33500,3014.99,90
33600,3023.99,90
33700,3032.99,90
33800,3041.99,90
33900,3050.99,90
34000,3059.99,90
34100,3068.99,90
34200,3077.99,90
34300,3086.99,90
34400,3095.99,90
34500,3104.99,90
34600,3113.99,90
34700,3122.99,90
34800,3131.99,90
34900,3140.99,90
35000,3149.99,90
35100,3158.99,90
35200,3167.99,90
35300,3176.99,90
35400,3185.99,90
35500,3194.99,90
35600,3203.99,90
35700,3212.99,89.94
35800,3221.98,89.88
35900,3230.97,89.82
36000,3239.95,89.76
36100,3248.92,89.7
36200,3257.89,89.64
36300,3266.85,89.58
36400,3275.8,89.52
36500,3284.75,89.46
36600,3293.69,89.4
36700,3302.63,89.34
36800,3311.56,89.28
36900,3320.49,89.22
37000,3329.41,89.16
37100,3338.32,89.1
37200,3347.23,89.04
37300,3356.13,88.98
37400,3365.02,88.92
37500,3373.91,88.86
37600,3382.79,88.8
37700,3391.67,88.74
37800,3400.54,88.68
37900,3409.41,88.62
38000,3418.27,88.56
38100,3427.12,88.5
38200,3435.97,88.44
38300,3444.81,88.38
38400,3453.64,88.32
38500,3462.47,88.26
38600,3471.29,88.2
38700,3480.11,88.14
38800,3488.92,88.08
38900,3497.73,88.02
39000,3506.53,87.96
39100,3515.32,87.9
39200,3524.11,87.84
39300,3532.89,87.78
39400,3541.66,87.72
39500,3550.43,87.66
39600,3559.19,87.6
39700,3567.95,87.54
39800,3576.7,87.48
39900,3585.45,87.42
40000,3594.19,87.36
40100,3602.92,87.3
40200,3611.65,87.24
40300,3620.37,87.18
40400,3629.08,87.12
40500,3637.79,87.06
40600,3646.49,87
40700,3655.19,86.94
40800,3663.88,86.88
40900,3672.57,86.82
41000,3681.25,86.76
41100,3689.92,86.7
41200,3698.59,86.64
41300,3707.25,86.58
41400,3715.9,86.52
41500,3724.55,86.46
41600,3733.19,86.4
41700,3741.83,86.34
41800,3750.46,86.28
41900,3759.09,86.22
42000,3767.71,86.16
42100,3776.32,86.1
42200,3784.93,86.04
42300,3793.53,85.98
42400,3802.12,85.92
42500,3810.71,85.86
42600,3819.29,85.8
42700,3827.87,85.74
42800,3836.44,85.68
42900,3845.01,85.62
43000,3853.57,85.56
43100,3862.12,85.5
43200,3870.67,85.44
43300,3879.21,85.38
43400,3887.74,85.32
43500,3896.27,85.26
43600,3904.79,85.2
43700,3913.31,85.14
43800,3921.82,85.08
43900,3930.33,85.02
44000,3938.83,84.96
44100,3947.32,84.9
44200,3955.81,84.84
44300,3964.29,84.78
44400,3972.76,84.72
44500,3981.23,84.66
44600,3989.69,84.6
44700,3998.15,84.54
44800,4006.6,84.48
44900,4015.05,84.42
45000,4023.49,84.36
45100,4031.92,84.3
45200,4040.35,84.24
45300,4048.77,84.18
45400,4057.18,84.12
45500,4065.59,84.06
45600,4073.99,84
45700,4082.39,83.94
45800,4090.78,83.88
45900,4099.17,83.82
46000,4107.55,83.76
46100,4115.92,83.7
46200,4124.29,83.64
46300,4132.65,83.58
46400,4141,83.52
46500,4149.35,83.46
46600,4157.69,83.4
46700,4166.03,83.34
46800,4174.36,83.28
46900,4182.69,83.22
47000,4191.01,83.16
47100,4199.32,83.1
47200,4207.63,83.04
47300,4215.93,82.98
47400,4224.22,82.92
47500,4232.51,82.86
47600,4240.79,82.8
47700,4249.07,82.74
47800,4257.34,82.68
47900,4265.61,82.62
48000,4273.87,82.56
48100,4282.12,82.5
48200,4290.37,82.44
48300,4298.61,82.38
48400,4306.84,82.32
48500,4315.07,82.26
48600,4323.29,82.2
48700,4331.51,82.14
48800,4339.72,82.08
48900,4347.93,82.02
49000,4356.13,81.96
49100,4364.32,81.9
49200,4372.51,81.84
49300,4380.69,81.78
49400,4388.86,81.72
49500,4397.03,81.66
49600,4405.19,81.6
49700,4413.35,81.54
49800,4421.5,81.48
49900,4429.65,81.42
50000,4437.79,81.36
50100,4445.92,81.3
50200,4454.05,81.24
50300,4462.17,81.18
50400,4470.28,81.12
50500,4478.39,81.06
50600,4486.49,81
50700,4494.59,80.94
50800,4502.68,80.88
50900,4510.77,80.82
51000,4518.85,80.76
51100,4526.92,80.7
51200,4534.99,80.64
51300,4543.05,80.58
51400,4551.1,80.52
51500,4559.15,80.46
51600,4567.19,80.4
51700,4575.23,80.34
51800,4583.26,80.28
51900,4591.29,80.22
52000,4599.31,80.16
52100,4607.32,80.1
52200,4615.33,80.04
52300,4623.33,79.98
52400,4631.32,79.92
52500,4639.31,79.86
52600,4647.29,79.8
52700,4655.27,79.74
52800,4663.24,79.68
52900,4671.21,79.62
53000,4679.17,79.56
53100,4687.12,79.5
53200,4695.07,79.44
53300,4703.01,79.38
53400,4710.94,79.32
53500,4718.87,79.26
53600,4726.79,79.2
53700,4734.71,79.14
53800,4742.62,79.08
53900,4750.53,79.02
54000,4758.43,78.96
54100,4766.32,78.9
54200,4774.21,78.84
54300,4782.09,78.78
54400,4789.96,78.72
54500,4797.83,78.66
54600,4805.69,78.6
54700,4813.55,78.54
54800,4821.4,78.48
54900,4829.25,78.42
55000,4837.09,78.36
55100,4844.92,78.3
55200,4852.75,78.24
55300,4860.57,78.18
55400,4868.38,78.12
55500,4876.19,78.06
55600,4883.99,78
