Time(ms),Location(m),Speed(m/s)
30200,12473.2,65.76
30300,12479.7,65.64
30400,12486.3,65.52
30500,12492.8,65.4
30600,12499.4,65.28
30700,12505.9,65.16
30800,12512.4,65.04
30900,12518.9,64.92
31000,12525.4,64.8
31100,12531.9,64.68
31200,12538.3,64.56
31300,12544.8,64.44
31400,12551.2,64.32
31500,12557.6,64.2
31600,12564.1,64.08
31700,12570.5,63.96
31800,12576.9,63.84
31900,12583.2,63.72
32000,12589.6,63.6
32100,12595.9,63.48
32200,12602.3,63.36
32300,12608.6,63.24
32400,12614.9,63.12
32500,12621.2,63
32600,12627.5,62.88
32700,12633.8,62.76
32800,12640.1,62.64
32900,12646.3,62.52
33000,12652.6,62.4
33100,12658.8,62.28
33200,12665.1,62.16
33300,12671.3,62.04
33400,12677.5,61.92
33500,12683.6,61.8
33600,12689.8,61.68
33700,12696,61.56
33800,12702.1,61.44
33900,12708.3,61.32
34000,12714.4,61.2
34100,12720.5,61.08
34200,12726.6,60.96
34300,12732.7,60.84
34400,12738.8,60.72
34500,12744.8,60.6
34600,12750.9,60.48
34700,12756.9,60.36
34800,12763,60.24
34900,12769,60.12
35000,12775,60
35100,12781,59.88
35200,12787,59.76
35300,12792.9,59.64
35400,12798.9,59.52
35500,12804.8,59.4
35600,12810.8,59.28
35700,12816.7,59.16
35800,12822.6,59.04
35900,12828.5,58.92
36000,12834.4,58.8
36100,12840.3,58.68
36200,12846.1,58.56
36300,12852,58.44
36400,12857.8,58.32
36500,12863.6,58.2
36600,12869.5,58.08
36700,12875.3,57.96
36800,12881.1,57.84
36900,12886.8,57.72
37000,12892.6,57.6
37100,12898.3,57.48
37200,12904.1,57.36
37300,12909.8,57.24
37400,12915.5,57.12
37500,12921.2,57
37600,12926.9,56.88
37700,12932.6,56.76
37800,12938.3,56.64
37900,12943.9,56.52
38000,12949.6,56.4
38100,12955.2,56.28
38200,12960.9,56.16
38300,12966.5,56.04
38400,12972.1,55.92
38500,12977.6,55.8
38600,12983.2,55.68
38700,12988.8,55.56
38800,12994.3,55.44
38900,12999.9,55.32
39000,13005.4,55.2
39100,13010.9,55.08
39200,13016.4,54.96
39300,13021.9,54.84
39400,13027.4,54.72
39500,13032.8,54.6
39600,13038.3,54.48
39700,13043.7,54.36
39800,13049.2,54.24
39900,13054.6,54.12
40000,13060,54
40100,13065.4,53.88
40200,13070.8,53.76
40300,13076.1,53.64
40400,13081.5,53.52
40500,13086.8,53.4
40600,13092.2,53.28
40700,13097.5,53.16
40800,13102.8,53.04
40900,13108.1,52.92
41000,13113.4,52.8
41100,13118.7,52.68
41200,13123.9,52.56
41300,13129.2,52.44
41400,13134.4,52.32
41500,13139.6,52.2
41600,13144.9,52.08
41700,13150.1,51.96
41800,13155.3,51.84
41900,13160.4,51.72
42000,13165.6,51.6
42100,13170.7,51.48
42200,13175.9,51.36
42300,13181,51.24
42400,13186.1,51.12
42500,13191.2,51
42600,13196.3,50.88
42700,13201.4,50.76
42800,13206.5,50.64
42900,13211.5,50.52
43000,13216.6,50.4
43100,13221.6,50.28
43200,13226.7,50.16
43300,13231.7,50.04
43400,13236.7,49.92
43500,13241.6,49.8
43600,13246.6,49.68
43700,13251.6,49.56
43800,13256.5,49.44
43900,13261.5,49.32
44000,13266.4,49.2
44100,13271.3,49.08
44200,13276.2,48.96
44300,13281.1,48.84
44400,13286,48.72
44500,13290.8,48.6
44600,13295.7,48.48
44700,13300.5,48.36
44800,13305.4,48.24
44900,13310.2,48.12
45000,13315,48
45100,13319.8,47.88
45200,13324.6,47.76
45300,13329.3,47.64
45400,13334.1,47.52
45500,13338.8,47.4
45600,13343.6,47.28
45700,13348.3,47.16
45800,13353,47.04
45900,13357.7,46.92
46000,13362.4,46.8
46100,13367.1,46.68
46200,13371.7,46.56
46300,13376.4,46.44
46400,13381,46.32
46500,13385.6,46.2
46600,13390.3,46.08
46700,13394.9,45.96
46800,13399.5,45.84
46900,13404,45.72
47000,13408.6,45.6
47100,13413.1,45.48
47200,13417.7,45.36
47300,13422.2,45.24
47400,13426.7,45.12
47500,13431.2,45
47600,13435.7,44.88
47700,13440.2,44.76
47800,13444.7,44.64
47900,13449.1,44.52
48000,13453.6,44.4
48100,13458,44.28
48200,13462.5,44.16
48300,13466.9,44.04
48400,13471.3,43.92
48500,13475.6,43.8
48600,13480,43.68
48700,13484.4,43.56
48800,13488.7,43.44
48900,13493.1,43.32
49000,13497.4,43.2
49100,13501.7,43.08
49200,13506,42.96
49300,13510.3,42.84
49400,13514.6,42.72
49500,13518.8,42.6
49600,13523.1,42.48
49700,13527.3,42.36
49800,13531.6,42.24
49900,13535.8,42.12
50000,13540,42
50100,13544.2,41.88
50200,13548.4,41.76
50300,13552.5,41.64
50400,13556.7,41.52
50500,13560.8,41.4
50600,13565,41.28
50700,13569.1,41.16
50800,13573.2,41.04
50900,13577.3,40.92
51000,13581.4,40.8
51100,13585.5,40.68
51200,13589.5,40.56
51300,13593.6,40.44
51400,13597.6,40.32
51500,13601.6,40.2
51600,13605.7,40.08
51700,13609.7,39.96
51800,13613.7,39.84
51900,13617.6,39.72
52000,13621.6,39.6
52100,13625.5,39.48
52200,13629.5,39.36
52300,13633.4,39.24
52400,13637.3,39.12
52500,13641.2,39
52600,13645.1,38.88
52700,13649,38.76
52800,13652.9,38.64
52900,13656.7,38.52
53000,13660.6,38.4
53100,13664.4,38.28
53200,13668.3,38.16
53300,13672.1,38.04
53400,13675.9,37.92
53500,13679.6,37.8
53600,13683.4,37.68
53700,13687.2,37.56
53800,13690.9,37.44
53900,13694.7,37.32
54000,13698.4,37.2
54100,13702.1,37.08
54200,13705.8,36.96
54300,13709.5,36.84
54400,13713.2,36.72
54500,13716.8,36.6
54600,13720.5,36.48
54700,13724.1,36.36
54800,13727.8,36.24
54900,13731.4,36.12
55000,13735,36
55100,13738.6,35.88
55200,13742.2,35.76
55300,13745.7,35.64
55400,13749.3,35.52
55500,13752.8,35.4
55600,13756.4,35.28
55700,13759.9,35.16
55800,13763.4,35.04
55900,13766.9,34.92
56000,13770.4,34.8
56100,13773.9,34.68
56200,13777.3,34.56
56300,13780.8,34.44
56400,13784.2,34.32
56500,13787.6,34.2
56600,13791.1,34.08
56700,13794.5,33.96
56800,13797.9,33.84
56900,13801.2,33.72
57000,13804.6,33.6
57100,13807.9,33.48
57200,13811.3,33.36
