Time(ms),Location(m),Speed(m/s)
40500,3645,90
40600,3654,90
40700,3663,90
40800,3672,90
40900,3681,90
41000,3690,90
41100,3699,90
41200,3708,90
41300,3717,90
41400,3726,90
41500,3735,90
41600,3744,90
41700,3753,90
41800,3762,90
41900,3771,90
42000,3780,90
42100,3789,90
42200,3798,90
42300,3807,90
42400,3816,90
42500,3825,90
42600,3834,90
42700,3843,90
42800,3852,90
42900,3861,90
43000,3870,90
43100,3879,90
43200,3888,90
43300,3897,90
43400,3906,90
43500,3915,90
43600,3924,90
43700,3933,90
43800,3942,90
43900,3951,90
44000,3960,90
44100,3969,90
44200,3978,90
44300,3987,90
44400,3996,90
44500,4005,90
44600,4014,90
44700,4023,90
44800,4032,90
44900,4041,90
45000,4050,90
45100,4059,90
45200,4068,90
45300,4077,90
45400,4086,90
45500,4095,90
45600,4104,90
45700,4113,90
45800,4122,90
45900,4131,90
46000,4140,90
46100,4149,90
46200,4158,90
46300,4167,90
46400,4176,90
46500,4185,90
46600,4194,90
46700,4203,90
46800,4212,90
46900,4221,90
47000,4230,90
47100,4239,90
47200,4248,90
47300,4257,90
47400,4266,90
47500,4275,90
47600,4284,90
47700,4293,90
47800,4302,90
47900,4311,90
48000,4320,90
48100,4329,90
48200,4338,90
48300,4347,90
48400,4356,90
48500,4365,90
48600,4374,90
48700,4383,90
48800,4392,90
48900,4401,90
49000,4410,90
49100,4419,90
49200,4428,90
49300,4437,90
49400,4446,90
49500,4455,90
49600,4464,90
49700,4473,90
49800,4482,90
49900,4491,90
50000,4500,90
50100,4509,90
50200,4518,90
50300,4527,90
50400,4536,90
50500,4545,90
50600,4554,90
50700,4563,90
50800,4572,90
50900,4581,90
51000,4590,90
51100,4599,90
51200,4608,90
51300,4617,90
51400,4626,90
51500,4635,90
51600,4644,90
51700,4653,90
51800,4662,90
51900,4671,90
52000,4680,90
52100,4689,90
52200,4698,90
52300,4707,90
52400,4716,90
52500,4725,90
52600,4734,90
52700,4743,90
52800,4752,90
52900,4761,90
53000,4770,90
53100,4779,90
53200,4788,90
53300,4797,90
53400,4806,90
53500,4815,90
53600,4824,90
53700,4833,90
53800,4842,90
53900,4851,90
54000,4860,90
54100,4869,90
54200,4878,90
54300,4887,90
54400,4896,90
54500,4905,90
54600,4914,90
54700,4923,90
54800,4932,90
54900,4941,90
55000,4950,90
55100,4959,90
55200,4968,90
55300,4977,90
55400,4986,90
55500,4995,90
55600,5004,90
55700,5013,90
55800,5022,90
55900,5031,90
56000,5040,90
56100,5049,90
56200,5058,90
56300,5067,90
56400,5076,90
56500,5085,90
56600,5094,90
56700,5103,90
56800,5112,90
56900,5121,90
57000,5130,90
57100,5139,90
57200,5148,90
57300,5157,90
57400,5166,90
57500,5175,90
57600,5184,90
57700,5193,90
57800,5202,90
57900,5211,90
58000,5220,90
58100,5229,90
58200,5238,90
58300,5247,90
58400,5256,90
58500,5265,90
58600,5274,90
58700,5283,90
58800,5292,90
58900,5301,90
59000,5310,90
59100,5319,90
59200,5328,90
59300,5337,90
59400,5346,90
59500,5355,90
59600,5364,90
59700,5373,90
59800,5382,90
59900,5391,90
60000,5400,90
60100,5409,90
60200,5418,90
60300,5427,90
60400,5436,90
60500,5445,90
60600,5454,90
60700,5463,90
60800,5472,90
60900,5481,90
61000,5490,90
61100,5499,90
61200,5508,90
61300,5517,90
61400,5526,90
61500,5535,90
61600,5544,90
61700,5553,90
61800,5562,90
61900,5571,90
62000,5580,90
62100,5589,90
62200,5598,90
62300,5607,90
62400,5616,90
62500,5625,90
62600,5634,90
62700,5643,90
62800,5652,90
62900,5661,90
63000,5670,90
63100,5679,90
63200,5688,90
63300,5697,90
63400,5706,90
63500,5715,90
63600,5724,90
63700,5733,90
63800,5742,90
63900,5751,90
64000,5760,90
64100,5769,90
64200,5778,90
64300,5787,90
64400,5796,90
64500,5805,90
64600,5814,90
64700,5823,90
64800,5832,90
64900,5841,90
65000,5850,90
65100,5859,90
65200,5868,90
65300,5877,90
65400,5886,90
65500,5895,90
65600,5904,90
65700,5913,90
65800,5922,90
65900,5931,90
66000,5940,90
66100,5949,90
66200,5958,90
66300,5967,90
66400,5976,90
66500,5985,90
66600,5994,90
66700,6003,90
66800,6012,90
66900,6021,90
67000,6030,90
67100,6039,90
67200,6048,90
67300,6057,90
67400,6066,90
67500,6075,90
67600,6084,90
67700,6093,90
67800,6102,90
67900,6111,90
68000,6120,90
68100,6129,90
68200,6138,90
68300,6147,90
68400,6156,90
68500,6165,90
68600,6174,90
68700,6183,90
68800,6192,90
68900,6201,90
69000,6210,90
69100,6219,90
69200,6228,90
69300,6237,90
69400,6246,90
69500,6255,90
69600,6264,90
69700,6273,90
69800,6282,90
69900,6291,90
70000,6300,90
70100,6309,90
70200,6318,90
70300,6327,90
70400,6336,90
70500,6345,90
70600,6354,90
70700,6363,90
70800,6372,90
70900,6381,90
71000,6390,90
71100,6399,90
71200,6408,90
71300,6417,90
71400,6426,90
71500,6435,90
71600,6444,90
71700,6453,90
71800,6462,90
71900,6471,90
72000,6480,90
72100,6489,90
72200,6498,90
72300,6507,90
72400,6516,90
72500,6525,90
72600,6534,90
72700,6543,90
72800,6552,90
72900,6561,90
73000,6570,90
73100,6579,90
73200,6588,90
73300,6597,90
73400,6606,90
73500,6615,90
73600,6624,90
73700,6633,90
73800,6642,90
73900,6651,90
74000,6660,90
74100,6669,90
74200,6678,90
74300,6687,90
74400,6696,90
74500,6705,90
74600,6714,90
74700,6723,90
74800,6732,90
74900,6741,90
75000,6750,90
75100,6759,90
75200,6768,90
75300,6777,90
75400,6786,90
75500,6795,90
75600,6804,90
75700,6813,90
75800,6822,90
75900,6831,90
76000,6840,90
76100,6849,90
76200,6858,90
76300,6867,90
76400,6876,90
76500,6885,90
76600,6894,90
76700,6903,90
76800,6912,90
76900,6921,90
77000,6930,90
77100,6939,90
77200,6948,90
77300,6957,90
77400,6966,90
77500,6975,90
77600,6984,90
77700,6993,90
77800,7002,90
77900,7011,90
78000,7020,90
78100,7029,90
78200,7038,90
